department_id,price,timestamp
1,95,2026-07-23 00:00:00
1,98,2026-07-23 01:00:00
1,102,2026-07-23 02:00:00
1,105,2026-07-23 03:00:00
1,101,2026-07-23 04:00:00
1,108,2026-07-23 05:00:00
1,112,2026-07-23 06:00:00
1,110,2026-07-23 07:00:00
1,115,2026-07-23 08:00:00
1,120,2026-07-23 09:00:00
1,118,2026-07-23 10:00:00
1,125,2026-07-23 11:00:00
1,122,2026-07-23 12:00:00
1,128,2026-07-23 13:00:00
1,130,2026-07-23 14:00:00
1,126,2026-07-23 15:00:00
1,132,2026-07-23 16:00:00
1,135,2026-07-23 17:00:00
1,131,2026-07-23 18:00:00
1,138,2026-07-23 19:00:00
1,142,2026-07-23 20:00:00
1,140,2026-07-23 21:00:00
1,145,2026-07-23 22:00:00
1,150,2026-07-23 23:00:00
2,105,2026-07-23 00:00:00
2,103,2026-07-23 04:00:00
2,100,2026-07-23 08:00:00
2,97,2026-07-23 12:00:00
2,95,2026-07-23 16:00:00
2,98,2026-07-23 20:00:00
2,96,2026-07-23 23:00:00
3,110,2026-07-23 00:00:00
3,115,2026-07-23 06:00:00
3,122,2026-07-23 12:00:00
3,130,2026-07-23 18:00:00
3,140,2026-07-23 23:00:00
4,90,2026-07-23 00:00:00
4,94,2026-07-23 08:00:00
4,98,2026-07-23 16:00:00
4,105,2026-07-23 23:00:00
5,100,2026-07-23 00:00:00
5,104,2026-07-23 12:00:00
5,110,2026-07-23 23:00:00
6,98,2026-07-23 00:00:00
6,95,2026-07-23 12:00:00
6,91,2026-07-23 23:00:00
7,85,2026-07-23 00:00:00
7,88,2026-07-23 12:00:00
7,92,2026-07-23 23:00:00
8,100,2026-07-23 00:00:00
8,99,2026-07-23 12:00:00
8,97,2026-07-23 23:00:00
9,102,2026-07-23 00:00:00
9,108,2026-07-23 12:00:00
9,114,2026-07-23 23:00:00
10,120,2026-07-23 00:00:00
10,135,2026-07-23 12:00:00
10,155,2026-07-23 23:00:00
11,90,2026-07-23 00:00:00
11,92,2026-07-23 12:00:00
11,89,2026-07-23 23:00:00
12,100,2026-07-23 00:00:00
12,106,2026-07-23 12:00:00
12,112,2026-07-23 23:00:00
